OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,B17020_calc_pctPovE,B17020_calc_pctPovM,B17020_calc_numChildPovE,B17020_calc_numChildPovM,B17020_calc_pctChildPovE,B17020_calc_pctChildPovM,B17020_calc_numTotChildE,B17020_calc_numTotChildM,Shape__Area,Shape__Length
100,11001007409,397785,0,Census Tract 74.09,District of Columbia,District of Columbia,4392,550,1339,528,143,105,330,249,162,112,601,283,95,71,8,12,0,12,3053,516,384,199,258,134,202,176,1789,341,339,120,63,41,18,29,30.5,11.3995222097063,635,293,42.9,15.6820375699741,1479,417,656714.91015625,3911.42467840852
101,11001007502,615830,0,Census Tract 75.02,District of Columbia,District of Columbia,5100,591,2287,492,285,176,261,124,527,172,867,256,298,189,49,43,0,17,2813,449,269,173,209,119,264,206,1531,276,403,168,104,67,33,32,44.8,8.12784337968444,1073,276,59.1,7.67684809746641,1815,403,1017012.9765625,6162.03086075029
102,11001007503,515179,0,Census Tract 75.03,District of Columbia,District of Columbia,2552,275,1187,240,215,102,191,86,95,61,591,137,71,36,19,17,5,8,1365,236,170,83,90,51,79,58,774,139,177,63,57,30,18,18,46.5,7.95745621154176,501,147,59.6,11.5630983807051,840,185,850964.1328125,3796.63793546315
103,11001007504,796569,0,Census Tract 75.04,District of Columbia,District of Columbia,2754,406,1371,390,306,215,202,137,72,83,638,176,152,88,1,4,0,12,1383,426,163,154,52,58,93,76,858,268,189,91,15,25,13,22,49.8,12.1111332014023,580,268,65.3,18.5179412018109,888,324,1315653.83203125,5657.07542641748
104,11001007601,1115358,141529,Census Tract 76.01,District of Columbia,District of Columbia,4921,540,1045,338,139,129,40,56,79,76,591,203,159,74,37,32,0,12,3876,623,359,246,216,125,90,101,2474,409,555,131,126,67,56,48,21.2,6.46115456763497,258,160,28,14.0559313363021,923,335,1842532.90234375,5895.58581364154
105,11001007603,1226618,0,Census Tract 76.03,District of Columbia,District of Columbia,4530,492,1556,632,227,180,160,147,301,179,673,270,49,44,112,119,34,37,2974,533,199,154,66,67,81,84,1780,356,561,158,182,88,105,77,34.3,13.4434067146507,688,293,66.5,17.3632064137614,1034,348,2025836.4765625,6408.88503016039
106,11001007604,1369578,0,Census Tract 76.04,District of Columbia,District of Columbia,4511,485,955,419,226,202,171,122,0,12,486,191,56,34,7,12,9,14,3556,621,327,171,133,92,113,84,2194,383,625,233,110,62,54,46,21.2,9.00520201597373,397,236,40.9,20.3234581803956,970,317,2262378.19140625,6977.42442557167
107,11001007605,453794,0,Census Tract 76.05,District of Columbia,District of Columbia,3926,505,1130,305,113,98,100,81,82,64,638,170,182,102,15,17,0,12,2796,517,253,213,75,62,97,92,1685,321,472,116,161,65,53,34,28.8,6.82979912015604,295,142,41,11.7002264867333,720,279,749618.2890625,4717.72894466419
108,11001007703,1017741,1059,Census Tract 77.03,District of Columbia,District of Columbia,6682,934,2289,796,371,310,264,165,248,192,940,370,405,201,61,70,0,17,4393,837,389,257,661,344,576,228,2071,484,536,191,79,63,81,96,34.3,10.9079062060759,883,400,35.2,13.2693597331214,2509,630,1683885.5859375,5874.26655377034
109,11001007707,842851,0,Census Tract 77.07,District of Columbia,District of Columbia,4663,538,1343,534,179,211,182,150,144,145,634,232,136,65,44,33,24,22,3320,557,197,113,323,208,178,90,1902,318,410,139,201,76,109,57,28.8,10.9591423593387,505,297,42,20.5987261559648,1203,390,1392751.64453125,5677.29779535526
110,11001007708,745807,129100,Census Tract 77.08,District of Columbia,District of Columbia,3055,377,1200,482,149,165,134,144,61,68,638,273,175,107,28,46,15,20,1855,384,246,157,89,78,151,119,1044,319,296,119,29,34,0,12,39.3,15.0143414312441,344,229,41.4,22.7706718219904,830,312,1232685.9921875,5509.20601335967
111,11001007709,828871,82685,Census Tract 77.09,District of Columbia,District of Columbia,2401,321,687,200,9,15,67,48,62,52,407,131,130,68,8,11,4,6,1714,321,94,75,96,85,138,113,1012,185,238,66,52,41,84,51,28.6,7.39951923508004,138,72,29.6,10.6596165381476,466,176,1369611.4140625,5731.97413518875
112,11001007803,986689,3755,Census Tract 78.03,District of Columbia,District of Columbia,4189,499,1142,401,218,214,62,47,210,128,575,181,68,46,0,12,9,16,3047,569,296,176,111,76,132,96,1848,348,487,123,143,98,30,40,27.3,9.00501536753988,490,254,47.6,19.3198392713659,1029,332,1637463.4453125,5725.54423199239
113,11001007804,838428,5705,Census Tract 78.04,District of Columbia,District of Columbia,3383,498,769,315,141,169,118,134,57,65,401,153,42,54,0,12,10,16,2614,515,203,132,161,106,117,76,1585,310,419,110,113,68,16,21,22.7,8.68922090365117,316,225,39.6,24.2068184270179,797,292,1395555.5859375,5875.60742041071
114,11001007806,671434,0,Census Tract 78.06,District of Columbia,District of Columbia,2424,341,474,247,110,119,33,50,29,35,244,114,58,31,0,12,0,12,1950,310,124,78,67,50,74,48,1195,227,358,112,104,68,28,26,19.6,9.81143189672978,172,134,39.4,26.567250322928,437,170,1110356.52734375,5239.42704640421
115,11001007807,522749,0,Census Tract 78.07,District of Columbia,District of Columbia,2297,268,432,166,25,38,48,55,58,54,248,91,50,37,3,6,0,12,1865,276,81,58,114,73,89,54,1213,203,242,71,76,34,50,34,18.8,6.88563198449367,131,86,31.6,17.8677590033935,415,138,864306.03125,4191.77763402498
