OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,B17020_calc_pctPovE,B17020_calc_pctPovM,B17020_calc_numChildPovE,B17020_calc_numChildPovM,B17020_calc_pctChildPovE,B17020_calc_pctChildPovM,B17020_calc_numTotChildE,B17020_calc_numTotChildM,Shape__Area,Shape__Length
155,11001009801,431384,17249,Census Tract 98.01,District of Columbia,District of Columbia,2260,305,882,337,205,123,121,88,140,82,330,147,63,33,23,24,0,12,1378,248,80,62,134,57,76,48,821,174,139,44,71,64,57,35,39,13.9503827583381,466,172,61.6,16.1128592388126,756,197,740424.7265625,4174.89323564532
156,11001009802,200745,0,Census Tract 98.02,District of Columbia,District of Columbia,2010,242,1114,260,252,104,200,66,44,36,592,184,21,23,5,7,0,12,896,225,37,35,64,73,85,50,567,140,121,46,13,14,9,12,55.4,11.0813475146704,496,128,72.7,7.81884416094838,682,160,331280.96875,2726.60603088217
157,11001009803,531060,0,Census Tract 98.03,District of Columbia,District of Columbia,3071,444,1062,346,204,152,112,86,104,70,423,115,209,86,10,16,0,12,2009,376,63,58,135,96,187,99,1242,255,289,83,93,63,0,12,34.6,10.0965745164748,420,188,52.2,17.4199431079465,805,240,876505.625,4108.73659471516
158,11001009804,518363,0,Census Tract 98.04,District of Columbia,District of Columbia,2993,329,901,316,111,65,131,81,86,53,541,192,27,20,5,7,0,12,2092,330,143,70,165,68,172,70,1237,250,273,60,92,46,10,8,30.1,10.0260007456807,328,117,40.6,11.8017883729976,808,167,855645.25390625,4803.75235228709
159,11001009807,1037012,0,Census Tract 98.07,District of Columbia,District of Columbia,3537,509,658,251,76,83,78,71,30,46,372,158,57,37,40,28,5,8,2879,502,197,117,149,118,86,70,1799,339,490,205,140,51,18,20,18.6,6.57205188418751,184,119,29.9,16.2323348666826,616,216,1711261.34375,6497.31179574703
160,11001009810,398419,14058,Census Tract 98.10,District of Columbia,District of Columbia,2898,381,1062,352,269,157,80,79,27,29,578,217,97,53,11,17,0,12,1836,370,204,115,123,79,162,94,1115,256,182,81,29,43,21,36,36.6,11.1499404794548,376,178,43.5,16.488631803888,865,245,680629.0078125,3614.49330438025
161,11001009811,467504,0,Census Tract 98.11,District of Columbia,District of Columbia,4992,613,1856,574,390,260,198,119,159,113,838,247,241,133,30,34,0,12,3136,508,197,117,217,126,371,143,1942,368,324,141,72,55,13,20,37.2,10.5531636272747,747,307,48.8,15.9778604938673,1532,380,771412.70703125,4573.46263086629
162,11001009901,2102151,0,Census Tract 99.01,District of Columbia,District of Columbia,2711,393,257,160,0,12,0,12,0,12,123,90,94,77,19,22,21,22,2454,360,134,108,219,87,114,76,1291,249,420,129,136,52,140,70,9.5,5.73965427194773,0,21,0,4.49678800856531,467,160,3473407.65234375,7642.71832684611
163,11001009902,1294559,0,Census Tract 99.02,District of Columbia,District of Columbia,3078,422,426,184,7,13,0,12,19,24,211,126,104,70,43,44,42,37,2652,414,172,100,232,101,148,80,1487,266,420,134,136,64,57,47,13.8,5.66875861988247,26,30,4.5,5.02696241678606,578,166,2138797.8515625,6873.748049006
164,11001009903,383679,0,Census Tract 99.03,District of Columbia,District of Columbia,2056,269,318,164,9,13,35,34,53,46,193,93,23,23,0,12,5,9,1738,291,168,94,90,52,135,78,1026,171,220,57,43,31,56,39,15.5,7.71569094609712,97,59,19.8,10.5197612533462,490,145,634188.79296875,4146.32199791375
165,11001009904,426198,0,Census Tract 99.04,District of Columbia,District of Columbia,2935,407,972,318,282,172,148,117,22,26,481,133,38,29,0,12,1,2,1963,417,267,175,162,136,121,56,1281,257,108,42,18,21,6,14,33.1,9.81332118116869,452,210,45.1,15.6354725203181,1002,310,704402.4609375,3862.80888761728
166,11001009905,431557,0,Census Tract 99.05,District of Columbia,District of Columbia,2883,419,780,289,101,101,99,81,126,102,376,120,65,54,0,12,13,21,2103,399,172,105,123,71,107,69,1317,285,254,111,130,82,0,12,27.1,9.22090860958938,326,165,44.8,18.2271129730693,728,219,713249.5703125,3739.60436921376
167,11001009906,252684,0,Census Tract 99.06,District of Columbia,District of Columbia,1630,202,400,113,28,33,0,12,56,43,239,84,69,34,2,4,6,8,1230,193,86,54,96,64,46,33,796,128,167,57,23,17,16,12,24.5,6.22986737767705,84,56,26.9,15.4431186423509,312,106,417657.11328125,2755.68005871659
168,11001009907,466954,0,Census Tract 99.07,District of Columbia,District of Columbia,2953,262,714,309,109,117,114,115,114,110,358,142,19,23,0,12,0,12,2239,363,97,85,182,134,188,108,1363,245,263,99,136,81,10,17,24.2,10.2416771130093,337,198,41.9,20.0234940946747,804,275,771711.2890625,4083.37616336483
169,11001010100,580133,0,Census Tract 101,District of Columbia,District of Columbia,2801,280,442,191,0,12,0,12,0,12,348,184,68,68,26,45,0,12,2359,296,128,121,21,22,36,32,1849,232,186,80,85,71,54,43,15.8,6.63402874563435,0,21,0,11.3513513513514,185,129,959294.12109375,4429.85228320694
170,11001010200,1244366,136323,Census Tract 102,District of Columbia,District of Columbia,2818,271,153,111,0,12,0,12,0,12,122,89,3,7,21,30,7,20,2665,258,133,93,53,28,63,54,1854,216,391,95,136,53,35,40,5.4,3.90420491156466,0,21,0,8.43373493975904,249,113,2056736.984375,6895.56902889694
171,11001010300,1084591,0,Census Tract 103,District of Columbia,District of Columbia,3860,608,382,151,56,73,19,27,16,20,249,112,34,30,8,13,0,12,3478,565,202,96,103,59,400,132,2055,385,509,194,155,59,54,65,9.9,3.58792646029492,91,80,11.4,9.6686457527577,796,191,1797137.8359375,6931.49886789289
172,11001010400,2614156,7006,Census Tract 104,District of Columbia,District of Columbia,4420,652,1185,531,83,88,50,64,114,125,770,402,132,75,36,35,0,12,3235,644,252,152,265,113,392,240,1860,393,352,152,62,45,52,48,26.8,11.3439745095091,247,166,21.4,12.8387008531042,1156,348,4327751.7890625,9769.31332527841
173,11001010500,749891,0,Census Tract 105,District of Columbia,District of Columbia,3730,335,903,458,59,57,42,40,133,127,492,274,114,79,63,97,0,12,2827,566,87,142,49,76,18,29,2411,428,178,96,84,89,0,12,24.2,12.0847817050966,234,145,60.3,15.4221550560781,388,219,1239276.328125,4758.20906758737
174,11001010600,1231590,0,Census Tract 106,District of Columbia,District of Columbia,7805,735,1045,361,0,17,0,17,69,86,857,284,119,59,0,17,0,17,6760,618,259,129,121,66,175,122,5856,537,306,152,0,17,43,42,13.4,4.45007253026369,69,89,11.1,13.7735711409613,624,209,2036555.328125,6759.81819614806
175,11001010700,891593,0,Census Tract 107,District of Columbia,District of Columbia,1637,167,308,107,0,12,0,12,0,12,299,107,8,13,1,5,0,12,1329,176,21,21,0,12,0,12,1080,169,166,49,56,40,6,13,18.8,6.24817267912375,0,21,0,100,21,34,1474360.09375,4919.35612430557
176,11001010800,661580,0,Census Tract 108,District of Columbia,District of Columbia,1097,158,524,145,0,17,0,17,0,17,475,131,49,75,0,17,0,17,573,114,0,17,0,17,0,17,482,105,65,39,6,9,20,9,47.8,11.2862973985032,0,29,,,0,42,1093808.80078125,4478.86730839099
177,11001010900,2381119,2935328,Census Tract 109,District of Columbia,District of Columbia,3819,583,1242,409,197,139,143,91,60,43,754,346,88,56,0,12,0,12,2577,474,350,166,204,118,161,140,1583,307,252,71,12,17,15,19,32.5,9.48934897883267,400,172,35.9,12.0071814923319,1115,301,3943687.66015625,12536.8102282983
178,11001011000,654089,364121,Census Tract 110,District of Columbia,District of Columbia,4146,328,262,138,0,12,0,12,0,12,190,118,18,27,32,36,22,36,3884,358,169,171,0,12,95,73,2431,326,748,184,360,128,81,66,6.3,3.29075012972366,0,21,0,7.95454545454545,264,187,1073066.56640625,5980.6697849255
179,11001011100,5718693,366232,Census Tract 111,District of Columbia,District of Columbia,5345,610,822,296,0,17,27,33,8,14,572,249,151,89,56,82,8,18,4523,610,426,179,315,156,170,89,2553,399,733,129,185,79,141,98,15.4,5.25240344964591,35,40,3.7,4.10712821875076,946,257,9485786.9375,23729.1627659348
